"","EAN_UPC","Product_name"
"136","8714100679890","Knorr Asia Noodles Instant Nudeln Rind-Geschmack asiatisches Nudelgericht fertig in nur 4 Minuten 68 g"
"137","8718114823485","Knorr Fix Würzmischung Pfeffer-Rahm Medaillons für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 35 g"
"138","8710522801932","Knorr Knusper Topping Frühlingskräuter und Käse, 40g"
"139","4038700114082","Knorr Feinschmecker Sauce Hollandaise klassisch eine leckere Soße ohne geschmacksverstärkende Zusatzstoffe 250 ml 1 Stück"
"140","8718114823515","Knorr Fix Würzmischung Schmorbraten für ein leckeres Fleischgericht Gewürzmischung mit natürlichen Zutaten 4 Portionen"
"141","4032600122086","Pfanni  Kartoffelpüree Das Komplette mit entrahmter Milch   94.5 g"
"142","8711200408245","Pfanni Kartoffel Knödel mit Röstzwiebeln und Emmentaler Käse, 8er Pack (8 x 120 g)"
"143","4007801104179","Knorr Tessiner Käse Cremesuppe Trockenmischung (würziger Käse Geschmack, cremige Konsistenz) 1er Pack (1 x 2,7kg)"
"144","8714100893265","Knorr Salat Krönung Gartenkräuter 210ml 210ml"
"145",NA,"Knorr MeisterKessel Feur. Gulasch 6x500g"
"146","4000492003745","Lukull Sauce Béarnaise, sofort einsatzbereit (frischer Kräutergenuss) 1er Pack (1 x 1L)"
"147","8714100697108","Knorr  Pasta Snack Pot Gulasch-Sauce leckere Instant Nudeln fertig in 5 Minuten 60 g"
"148",NA,"Knorr Suppenliebe Hühner Suppe, 15 x 3 Teller (15 x 750 ml) & Suppenliebe Fertiggericht Buchstaben Suppe, 14 x 82 g"
"149","4046800310907","Mondamin Soßenbinder Hell, 4er-Pack (4 x 250 g)"
"150","4038700318091","Knorr Spaghetteria Panna, 10er Pack (10 x 153 g)"
"151","0000040387765","Knorr  Fette Brühe als Brühwürfel zum Verfeinern und Abschmecken 100 g 1 Packung"
"152","4007801104797","Knorr Hühner Kraftbouillon, 1000 g"
"153",NA,"Knorr Pasta Snack Brokkoli-Käse-Sauce, 8 x 69 g + Knorr Pasta Snack Tomaten-Mozzarella-Sauce, 8 x 72 g"
"154","4013300534423","Unox"
"155","4046800110903","Mondamin  Soßenbinder Hell   250 g"
"156","8711327414921","Knorr  Pasta Snack Pot Brokkoli & Käse leckere Instant Nudeln fertig in nur 5 Minuten 62 g"
"157","9000275784309","Knorr Spinatnockerl mit feinem Mozzarella (besonders flaumige Suppeneinlage) 1er Pack (1 x 2,5 kg)"
"158","4038700126986","Knorr Hüttenschmaus Fertiggericht Käse-Spätzle leckeres Nudelgericht fertig in 12 Minuten 149 g"
"159","8720182421975","Knorr  Suppenliebe Disney Die Eiskönigin Suppe leckere schnelle Suppe für Kinder und Erwachsene mit natürlichen Zutaten 14x 2 Portionen"
"160","8711200451869","Knorr Mein Würzgeheimnis Geschenkset ( für Kochliebhaber, mit 4 verschiedenen Würzmixen - 100 Prozent natürliche Zutaten ) 1er Pack"
"161","4007801320289","Pfanni Kartoffel-Flocken, Flocken Locker , 4 kg, Groß"
"162","8711200454617","Mondamin Grießbrei Klassisch 60g 60g"
"163","9000275713514","Knorr Rindessa Rindfleisch Bouillon (kräftiger Geschmack) 1er Pack (1 x 1 kg)"
"164","8718114947266","Knorr"
"165","8710522627433","Knorr Asia Noodles Instant Nudeln Chicken Taste leckere Asia Nudeln fertig in nur 3 Minuten 65 g"
"166",NA,"Knorr Fix Würzmischung Chili con Carne für einen würzigen Eintopf mit natürlichen Zutaten* 33 g 1 Stück (Packung mit 2)"
"167","8714100089453","Knorr Joghurt Dressing (cremiges, frisches Salatdressing ohne Konservierungsstoffe), 3er Pack (3 x 1L)"
"168","8720182089021","Knorr  Gemüse Bouillon im Glas mit vollem Geschmack und mit natürlichen Zutaten 136 g"
"169","4013300031281","Knorr  Sauce Chili würzige Grillsauce mit scharfem Geschmack 250 ml 1 Stück"
"170","4038700114136","Knorr  Feinschmecker Champignon Sauce cremige braune Sauce ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 250 ml 1er-Pack"
"171","8712100440137","Knorr Käse Ideal Cremesuppe (Trockenmischung für Suppen und Saucen) 1er Pack (1 x 2,75kg)"
"172","8720182301789","Hellmann's  Cheese Style Sauce leckere Grillsauce perfekt zu Burger und Nachos 8x 250ml"
"173","4038700317001","Knorr Braten Soße Extra 3 x 250 ml, 15er Pack"
"174","8712566332137","Knorr  Suppenliebe Hühnersuppe für eine leckere Nudelsuppe mit vielen Nudeln ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 3 Teller"
"175","8717163949962","Knorr Natürlich Lecker! Fix für Süßkartoffel-Linsen-Curry #HeuteIstMeinVeggieTag Süßkartoffel-Linsen-Curry vegetarisch, 32 g, 2 Portionen"
"176","8712100436635","Knorr Champignon Cremesuppe Trockenmischung (cremiger, runder Champignongeschmack) 1er Pack (1 x 900 g)"
"177","8720182396976","Knorr Taste the World Pasta Snack Mac & Cheese Jalapeño leckere kleine Mahlzeit fertig in nur 5 Minuten 8x 62 g"
"178","8717163851852","Knorr Salatkrönung Caesar 210ml 210ml"
"179","8718114835907","Knorr Fix Würzmischung Hackfleisch Jäger Art für ein leckeres Gericht mit Hackfleisch ohne geschmacksverstärkende Zusatzstoffe 36 g 1 Stück"
"180","8714100680339","Knorr Asia Noodles Instant Nudeln Huhn-Geschmack schnelles Nudelgericht fertig in nur 4 Minuten 70 g 1 Stück"
"181","4000400362391","Pfanni Kartoffelfertiggericht Kartoffel Gratin ""Fix & Fertig"" für die schnelle Zubereitung 100% deutsche Kartoffeln, 5er Pack (5 x 400 g)"
"182","8720182229250","Knorr"
"183","8711200457281","Lukull  Soße HOLLANDAISE BALANCE"
"184","8712566361496","Knorr  Bouillon Pur Huhn leckere Hühnerbouillon mit vollem Geschmack 6x 28 g"
"185",NA,"Knorr Klare Suppe Bouillon rein pflanzlich, 1er Pack (1 x 1 kg) & Gemüse Kraftbouillon (Gemüsebrühe mit Suppengrün, rein pflanzlich, vegan) 1er Pack (1 x 1 kg)"
"186",NA,"Knorr Kartoffel Snack mit Fleischbällchen & Röstzwiebeln, 53 g (Packung mit 2)"
"187","8711327457065","Knorr Pasta und Kartoffel, Käse-Sahne Sauce (8x), Brokkoli Käse Sauce (8x) Pfanni Kartoffelpüree Röstzwiebeln Croutons (8x) im Sortimentskarton (24 x Becher), 1.568 kg Snack Pots (24 Pots) Single"
"188",NA,"Knorr Snack Bar Nudeln in Käse-Kräuter-Sauce, 8er Pack (8 x 65 g) & Pasta Snack Brokkoli-Käse-Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 62 g Becher -, 496 g"
"189","8720182067364","Knorr"
"190","8712566361564","Knorr Bouillon Pur Delikatess mit würzigem Geschmack vegan 6x 28 g"
"191",NA,"Knorr Gemüsegold Bouillon Gemüsebrühe (rein pflanzlich, ausgeprägter Gemüsegeschmack) 1er Pack (1 x 1 kg) & Gemüse Kraftbouillon (Gemüsebrühe mit Suppengrün, rein pflanzlich, vegan) 1er Pack (1 x 1kg)"
"192","4007801106593","Knorr Bratenjus pastös (vielseitig anwendbar für Bratensaft, Bratensoße (gravy) und braune Soße) 1er pack (1 x 1,4 kg)"
"193","8711200339891","Knorr  Suppe Spargelcreme   2 Teller"
"194","8712423037656","Knorr Feinschmecker Suppe  leckere Zwiebelsuppe ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe mit nachhaltig angebauten Zwiebeln 14 x 3 Teller"
"195","8712100197550","Knorr Aromat Universal, 1er Pack (1 x 6000 g)"
"196","4046800110064","Mondamin  Pizza-Teig  Fertigteig für einfaches und schnelles Pizzabacken 460 g 1 Stück"
"197","8714100089392","Knorr French Dressing (mit feiner Senfnote und hochwertigem Rapsöl), 3er Pack (3 x 1L)"
"198",NA,"Knorr Pasta Snack Rahm Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 62g Becher -, 496g & Pasta Snack Pilz-Rahm-Sauce leckeres Nudelgericht fertig in nur 5 Minuten - 8 x 63g Becher -, 504g"
"199","8722700635239","Knorr Collezione Italiana Sauce Arrabiata (scharfe Tomatensauce mit Kräuter) 1er Pack (1 x 2,36 kg)"
"200",NA,"Knorr Natürlich Lecker! Würzbasis für die einfache Zubereitung Lachs-Gemüse Gratin aus 100% natürlichen Zutaten, 15 x 42 g"
"201",NA,"Knorr Mein Würzgeheimis Mexikanisch für Chilis und Tacos (1 x 90 g)"
"202","5900300516858","Knorr Collezione Italiana Tomatenmark (doppelt konzentriertes Tomatenpüree) 3er Pack (3 x 800g)"
"203","8720181051517","KNORR Instant Nudeln Asia Noodles verschiedene Sorten schnelles Nudelgericht fertig in nur 3 Minuten 1 Portion 24 Stück"
"204","4046800311041","Mondamin Feine Speisestärke, 8er-Pack (8 x 400 g)"
"205",NA,"Mondamin Snack Becher Pudding Schoko glutenfreier und vegetarischer Schokopudding fertig in nur 3 Minuten 54 g 8 Stück Single"
"206","8717163861783","Knorr Fix Würzmischung Hackbraten für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 70 g 1 Stück"
"207","8717163784273","Hellmann's  REAL Salat Mayo leckere Salat Mayonnaise mit Freilandeiern 210 ml 1 Stück"
"208","4000400324962","Pfanni  Kartoffel Püree Das Herzhafte für ein leckeres Kartoffelgericht mit 100% deutschen Kartoffeln 7x 243g"
"209","8714100953556","Knorr Pasta Snack Broc   8x 69g  BE"
"210",NA,"Knorr Tomaten Ketchup im Squeezer ideal als vegane Grillsauce mit 100% natürlichen Zutaten 430 ml (Packung mit 2)"
"211","8712100902123","Knorr Grillsauce Burger Soße 8x250ml"
"212","4007801309697","Knorr Salatkrönung Kapuziner Art Dressing (Basis für Salatdressing mit ausgesuchten Kräutern und Gewürzen) 1er Pack (1 x 5 kg)"
"213","8712566480166","Knorr Kürbis Kartoffel Püreesuppe Trockenmischung (ausgewogener, harmonischer Geschmack) 1er Pack (1 x 2,4 kg)"
"214","8711200337941","Calve  Erdnussbutter Creamy leckerer Brotaufstrich ohne Zuckerzusatz 210 g 1 Stück"
"215","8714100890370","Lukull  Sauce Lukull Hollandaise besonders cremige Sauce zu Spargel, Gemüse, Fleisch und Fisch, 12x 250 ml"
"216","8712100193248","Knorr Fix Lasagne 2 Portionen (20 x 400 ml)"
"217","8720182429568","Knorr Fix Würzmischung Geschnetzeltes Züricher Art für ein leckeres Geschnetzeltes Rezept ohne geschmacksverstärkende Zusatzstoffe 54 g"
"218","8711327405028","Hellmann's  Sauce mit Knoblauchnote ideal zum Dippen und Verfeinern beim Barbecue vegetarisch 8x 250 ml"
"219",NA,"Knorr Delikatess Sauce zu Braten (pur als Bratensoße, Soßenbinder und zum Verfeinern), 1er Pack (1 x 1 kg) & Gemüse Kraftbouillon (Gemüsebrühe mit Suppengrün, rein pflanzlich) 1er Pack (1 x 1 kg)"
"220","9000275745607","Knorr Weisse Grundsauce (ohne deklarationspflichtige Allergene lt. Gesetz) 2 kg"
"221",NA,"Lukull Sauce Béarnaise - sofort einsetzbar, mit dem klassischen Geschmack von Kerbel und Estragon, 1er Pack (12 x 250ml)"
